OPE ID,Institution Name,City,State,Zip Code,Institution Type,"School Group Name
The school is part of a group of institutions owned and/or operated by the corporate or non-profit entity listed below",Institution Fiscal Year End, Composite Score for Institution's  Fiscal Year Ending Between 07/01/2016 - 6/30/2017,,,,,,,,,,,,,,,,,,,
04237700,Regional Center for Border Health,Somerton,AZ,85350-2010,Non-profit,N/A,06/30/2017,1.4,,,,,,,,,,,,,,,,,,,
02113800,Roberto-Venn School of Luthiery,Phoenix,AZ,85007-2514,Proprietary,N/A,06/30/2017,2.3,,,,,,,,,,,,,,,,,,,
03005000,Safford College of Beauty Culture,Safford,AZ,85546-3309,Proprietary,N/A,12/31/2016,2.0,,,,,,,,,,,,,,,,,,,
02533200,School of Architecture at Taliesin (The),Scottsdale,AZ,85259-4430,Non-profit,N/A,12/31/2016,2.4,,,,,,,,,,,,,,,,,,,
04217600,Sessions College for Professional Design,Tempe,AZ,85281-2863,Proprietary,N/A,03/31/2017,2.5,,,,,,,,,,,,,,,,,,,
04244900,Sonoran Desert Institute,Scottsdale,AZ,85258-3376,Proprietary,N/A,12/31/2016,2.8,,,,,,,,,,,,,,,,,,,
03107000,Southwest College of Naturopathic Medicine & Health Sciences,Tempe,AZ,85282-1751,Non-profit,N/A,09/30/2016,1.7,,,,,,,,,,,,,,,,,,,
03593300,Southwest Institute of Healing Arts,Tempe,AZ,85281-3658,Proprietary,N/A,12/31/2016,2.3,,,,,,,,,,,,,,,,,,,
02491500,Southwest University of Visual Arts,Tucson,AZ,85716-2505,Proprietary,N/A,12/31/2016,2.5,,,,,,,,,,,,,,,,,,,
04152900,Studio Academy of Beauty (The),Chandler,AZ,85224-3600,Proprietary,N/A,12/31/2016,2.4,,,,,,,,,,,,,,,,,,,
04059300,Tucson College of Beauty,Tucson,AZ,85705-2451,Proprietary,N/A,12/31/2016,1.6,,,,,,,,,,,,,,,,,,,
03814300,Turning Point Beauty College,Casa Grande,AZ,85122-4766,Proprietary,N/A,12/31/2016,2.1,,,,,,,,,,,,,,,,,,,
00822100,Universal Technical Institute,Avondale,AZ,85323-7946,Proprietary,Universal Technical Institute & Subsidiaries,09/30/2016,1.7,,,,,,,,,,,,,,,,,,,
02100500,Universal Technical Institute,Phoenix,AZ,85027-9969,Proprietary,Universal Technical Institute & Subsidiaries,09/30/2016,1.7,,,,,,,,,,,,,,,,,,,
02559000,University of Advancing Computer Technology,Tempe,AZ,85283-1056,Proprietary,N/A,12/31/2016,2.3,,,,,,,,,,,,,,,,,,,
02098800,University of Phoenix,Phoenix,AZ,85040-0723,Proprietary,Apollo Education Group Inc. and Subsidiaries,08/31/2016,1.8,,,,,,,,,,,,,,,,,,,
02171500,Western International University,Tempe,AZ,85282-0000,Proprietary,Apollo Education Group Inc. and Subsidiaries,08/31/2016,1.8,,,,,,,,,,,,,,,,,,,
03150500,A - Technical College,Huntington Park,CA,90255-4199,Proprietary,N/A,12/31/2016,1.4,,,,,,,,,,,,,,,,,,,
04242600,ABCO Technology,Inglewood,CA,90304-1103,Proprietary,N/A,12/31/2016,3.0,,,,,,,,,,,,,,,,,,,
04243800,Abraham Lincoln University,Glendale,CA,91210-1211,Proprietary,N/A,12/31/2016,1.8,,,,,,,,,,,,,,,,,,,
04155500,Academy for Jewish Religion California,Los Angeles,CA,90024-3234,Non-profit,N/A,07/31/2016,0.7,,,,,,,,,,,,,,,,,,,
04189800,Academy for Salon Professionals,Northridge,CA,91324-2305,Proprietary,N/A,08/31/2016,1.0,,,,,,,,,,,,,,,,,,,
00753100,Academy of Art University,San Francisco,CA,94105-3410,Proprietary,N/A,12/31/2016,2.2,,,,,,,,,,,,,,,,,,,
03288300,Academy of Chinese Culture and Health Sciences,Oakland,CA,94612-2168,Non-profit,N/A,12/31/2016,2.6,,,,,,,,,,,,,,,,,,,
04132400,Academy of Esthetics and Cosmetology,San Fernando,CA,91340-3373,Proprietary,N/A,12/31/2016,1.6,,,,,,,,,,,,,,,,,,,
02342400,Academy of Radio & TV Broadcasting,Huntington Beach,CA,92647-3809,Proprietary,N/A,12/31/2016,-1.0,,,,,,,,,,,,,,,,,,,
03327400,"Acupuncture and Integrative Medicine College, Berkeley",Berkeley,CA,94704-2724,Non-profit,N/A,12/31/2016,1.5,,,,,,,,,,,,,,,,,,,
02520400,Adrians Beauty College of Turlock,Turlock,CA,95380-5116,Proprietary,N/A,04/30/2017,1.6,,,,,,,,,,,,,,,,,,,
03736300,Advance Beauty College,Garden Grove,CA,92843-4752,Proprietary,N/A,12/31/2016,2.7,,,,,,,,,,,,,,,,,,,
04206800,Advance Beauty Techs Academy,Corona,CA,92879-6572,Proprietary,N/A,12/31/2016,1.5,,,,,,,,,,,,,,,,,,,
04208900,Advanced Career Institute,Visalia,CA,93291-9254,Proprietary,N/A,12/31/2016,1.5,,,,,,,,,,,,,,,,,,,
03786300,Advanced College,South Gate,CA,90280-5255,Proprietary,N/A,12/31/2016,2.6,,,,,,,,,,,,,,,,,,,
04210600,Advanced Computing Institute,Los Angeles,CA,90010-3911,Proprietary,N/A,12/31/2016,1.4,,,,,,,,,,,,,,,,,,,
03532400,Advanced Training Associates,El Cajon,CA,92020-0918,Proprietary,N/A,12/31/2016,2.9,,,,,,,,,,,,,,,,,,,
02282300,Alhambra Beauty College,Alhambra,CA,91801-7494,Proprietary,N/A,12/31/2016,3.0,,,,,,,,,,,,,,,,,,,
04243100,Alhambra Medical University,Alhambra,CA,91803-1310,Proprietary,N/A,12/31/2016,2.3,,,,,,,,,,,,,,,,,,,
01111700,Alliant International University,San Diego,CA,92131-1799,Proprietary,N/A,06/30/2017,1.8,,,,,,,,,,,,,,,,,,,
04227100,America Evangelical University,Los Angeles,CA,90006-5860,Non-profit,N/A,06/30/2017,2.6,,,,,,,,,,,,,,,,,,,
00112000,American Baptist Seminary of the West,Berkeley,CA,94704-3029,Non-profit,N/A,06/30/2017,2.3,,,,,,,,,,,,,,,,,,,
01307400,American Beauty College,West Covina,CA,91790-2906,Proprietary,N/A,12/31/2016,2.5,,,,,,,,,,,,,,,,,,,
03971300,American Career College,Ontario,CA,91764-4906,Proprietary,N/A,12/31/2016,2.6,,,,,,,,,,,,,,,,,,,
03359300,American Career College,Lynwood,CA,90262-2659,Proprietary,"American Career College, Inc.",12/31/2016,1.6,,,,,,,,,,,,,,,,,,,
02241800,American Career College,Los Angeles,CA,90004-6818,Proprietary,"American Career College, Inc.",12/31/2016,1.6,,,,,,,,,,,,,,,,,,,
03144400,American College of Healthcare and Technology,Riverside,CA,92505-3038,Proprietary,N/A,12/31/2016,2.1,,,,,,,,,,,,,,,,,,,
02099200,American Conservatory Theater Foundation,San Francisco,CA,94108-5800,Non-profit,N/A,06/30/2017,2.5,,,,,,,,,,,,,,,,,,,
02222000,American Film Institute Conservatory,Los Angeles,CA,90027-1625,Non-profit,N/A,06/30/2017,2.6,,,,,,,,,,,,,,,,,,,
03962300,American Institute of Massage Therapy,Santa Ana,CA,92705-5479,Proprietary,N/A,06/30/2017,3.0,,,,,,,,,,,,,,,,,,,
00274100,American Jewish University,Los Angeles,CA,90077-1599,Non-profit,N/A,06/30/2017,2.2,,,,,,,,,,,,,,,,,,,
04159700,American Medical Sciences Center,Glendale,CA,91204-5108,Proprietary,N/A,12/31/2016,-0.5,,,,,,,,,,,,,,,,,,,
03225300,American University of Health Sciences,Signal Hill,CA,90755-3612,Proprietary,N/A,12/31/2016,2.4,,,,,,,,,,,,,,,,,,,
04160400,Angeles College,Los Angeles,CA,90010-2100,Proprietary,N/A,12/31/2016,1.5,,,,,,,,,,,,,,,,,,,
04164400,Angeles Institute,Artesia,CA,90701-6610,Proprietary,N/A,12/31/2016,1.1,,,,,,,,,,,,,,,,,,,
04191300,Annenberg School of Nursing,Reseda,CA,91335-3711,Non-profit,N/A,08/31/2016,1.9,,,,,,,,,,,,,,,,,,,
02179900,Argosy University,Orange,CA,92868-4844,Proprietary,Education Management Corporation and Subsidiaries,06/30/2017,-1.0,,,,,,,,,,,,,,,,,,,
00111600,Art Center College of Design,Pasadena,CA,91103-1999,Non-profit,N/A,06/30/2017,3.0,,,,,,,,,,,,,,,,,,,
04057300,Asher College,Sacramento,CA,95825-4025,Proprietary,N/A,12/31/2016,1.7,,,,,,,,,,,,,,,,,,,
00188100,Ashford University,San Diego,CA,92123-1406,Proprietary,N/A,12/31/2016,1.8,,,,,,,,,,,,,,,,,,,
02595600,Asian-American International Beauty College,Westminster,CA,92683-4043,Proprietary,N/A,12/31/2016,2.4,,,,,,,,,,,,,,,,,,,
04242500,Associated Barber College of San Diego,San Diego,CA,92101-4210,Proprietary,N/A,12/31/2016,1.9,,,,,,,,,,,,,,,,,,,
02553500,Associated Technical College,San Diego,CA,92101-3245,Proprietary,"Diversified Educational Company, Inc.",12/31/2016,1.7,,,,,,,,,,,,,,,,,,,
00902200,Associated Technical College,Los Angeles,CA,90017-1604,Proprietary,"Diversified Educational Company, Inc.",12/31/2016,1.7,,,,,,,,,,,,,,,,,,,
03740400,ATI College,Norwalk,CA,90650-4374,Proprietary,N/A,12/31/2016,2.2,,,,,,,,,,,,,,,,,,,
02258600,Avalon School of Cosmetology,Alameda,CA,94501-4569,Proprietary,"Ogle School Holdings, LLC and Subsidiary",12/31/2016,3.0,,,,,,,,,,,,,,,,,,,
04240200,Aviation Institute of Maintenance,Oakland,CA,94621-4527,Proprietary,"Employment Services, Inc.",12/31/2016,3.0,,,,,,,,,,,,,,,,,,,
00111700,Azusa Pacific University,Azusa,CA,91702-7000,Non-profit,N/A,06/30/2017,2.4,,,,,,,,,,,,,,,,,,,
04223700,Bay Area Medical Academy,San Francisco,CA,94108-3623,Proprietary,N/A,12/31/2016,0.0,,,,,,,,,,,,,,,,,,,
00705000,Bellus Academy,Chula Vista,CA,91911-1773,Proprietary,"Beauty Boutique, Inc.",12/31/2016,2.3,,,,,,,,,,,,,,,,,,,
01202600,Bellus Academy,El Cajon,CA,92021-6247,Proprietary,"Beauty Boutique, Inc.",12/31/2016,2.3,,,,,,,,,,,,,,,,,,,
02343400,Bellus Academy,Poway,CA,92064-4633,Proprietary,N/A,12/31/2016,1.9,,,,,,,,,,,,,,,,,,,
04176300,Bergin College of Canine Studies,Penngrove,CA,94951-8676,Non-profit,N/A,09/30/2016,3.0,,,,,,,,,,,,,,,,,,,
03266300,Bethesda University,Anaheim,CA,92801-4132,Non-profit,N/A,06/30/2017,3.0,,,,,,,,,,,,,,,,,,,
04185500,Beverly Hills Design Institute,Beverly Hills,CA,90211-3235,Proprietary,N/A,12/31/2016,2.2,,,,,,,,,,,,,,,,,,,
04148200,Beyond 21st Century Beauty Academy,Santa Fe Springs,CA,90670-6316,Proprietary,N/A,12/31/2016,2.0,,,,,,,,,,,,,,,,,,,
00112200,Biola University,La Mirada,CA,90639-0001,Non-profit,N/A,06/30/2017,3.0,,,,,,,,,,,,,,,,,,,
