OPE ID,Institution Name,City,State ,Zip Code,Institution Type,Institution Fiscal Year,Composite Score for Institution Fiscal Year Ending 7/01/2014 and 6/30/2015,,,,
02491500,Southwest University of Visual Arts,Tucson,AZ,85716-2505,Proprietary,12/31/2014,2.6,,,,
02533200,Frank Lloyd Wright School of Architecture,Scottsdale,AZ,85261-4430,Non Profit,12/31/2014,2.2,,,,
02559000,University of Advancing Computer Technology,Tempe,AZ,85283-1056,Proprietary,12/31/2014,2.0,,,,
03005000,Safford College of Beauty Culture,Safford,AZ,85546-3309,Proprietary,12/31/2014,2.2,,,,
03034400,Conservatory of Recording Arts & Sciences,Tempe,AZ,85282-1707,Proprietary,06/30/2015,1.9,,,,
03097800,Carsten Institute of Cosmetology,Tempe,AZ,85282-5404,Proprietary,12/31/2014,0.4,,,,
03107000,Southwest College of Naturopathic Medicine & Health Sciences,Tempe,AZ,85282-1751,Non Profit,09/30/2014,2.6,,,,
03115000,Arizona College,Glendale,AZ,85302-3843,Proprietary,03/31/2015,1.7,,,,
03347300,International Baptist College & Seminary,Chandler,AZ,85286-6799,Non Profit,06/30/2015,3.0,,,,
03445300,HDS Truck Driving Institute,Tucson,AZ,85706-9263,Proprietary,12/31/2014,1.6,,,,
03478400,Phoenix Seminary,Phoenix,AZ,85018-7611,Non Profit,06/30/2015,2.2,,,,
03593300,Southwest Institute of Healing Arts,Tempe,AZ,85281-3658,Proprietary,12/31/2014,2.6,,,,
03617500,Phoenix Institute of Herbal Medicine & Acupuncture,Phoenix,AZ,85012-1275,Proprietary,12/31/2014,1.5,,,,
03695500,Arizona School of Acupuncture and Oriental Medicine,Tucson,AZ,85716-1518,Proprietary,12/31/2014,2.5,,,,
03813300,Northcentral University,Prescott Valley,AZ,86314-2336,Proprietary,12/31/2014,0.2,,,,
03814300,Turning Point Beauty College,Casa Grande,AZ,85122-5303,Proprietary,12/31/2014,2.0,,,,
04059300,Tucson College of Beauty,Tucson,AZ,85705-2451,Proprietary,12/31/2014,1.6,,,,
04120900,Arizona Culinary Institute,Scottsdale,AZ,85259-4939,Proprietary,12/31/2014,2.2,,,,
04148700,American Institute of Interior Design,Fountain Hills,AZ,85268-3827,Proprietary,12/31/2014,3.0,,,,
04152900,Studio Academy of Beauty (The),Chandler,AZ,85224-3600,Proprietary,12/31/2014,1.5,,,,
04157400,National Paralegal College,Phoenix,AZ,85014-1561,Proprietary,12/31/2014,2.7,,,,
04174100,Paul Mitchell the School Phoenix,Phoenix,AZ,85017-1919,Proprietary,12/31/2014,1.6,,,,
04174200,All Beauty College,Fort Mohave,AZ,86426-8326,Proprietary,12/31/2014,2.6,,,,
04175300,Penrose Academy,Scottsdale,AZ,85254-4065,Proprietary,12/31/2014,2.6,,,,
04177500,Pure Aesthetics,Tucson,AZ,85716-3823,Proprietary,12/31/2014,3.0,,,,
04194500,Aveda Institute Tucson,Tucson,AZ,85719-4876,Proprietary,12/31/2014,2.9,,,,
04217600,Sessions College for Professional Design,Tempe,AZ,85281-2863,Proprietary,03/31/2015,2.5,,,,
04233100,Arizona School of Integrative Studies,Tucson,AZ,85705-8330,Proprietary,10/31/2014,1.5,,,,
04244900,Sonoran Desert Institute,Scottsdale,AZ,85258-3376,Proprietary,12/31/2014,1.6,,,,
00188100,Ashford University,San Diego,CA,92123-1406,Proprietary,12/31/2014,2.5,,,,
00747600,Marinello School of Beauty,Los Angeles,CA,90023-2666,Proprietary,12/31/2014,1.7,,,,
02518400,National Hispanic University (The),San Jose,CA,95127-3823,Proprietary,12/31/2014,-0.1,,,,
03027700,Pacific College of Oriental Medicine,San Diego,CA,92108-4408,Proprietary,12/31/2014,2.1,,,,
03171300,University of St. Augustine for Health Sciences,San Marcos,CA,92069-0000,Proprietary,12/31/2014,2.4,,,,
00111600,Art Center College of Design,Pasadena,CA,91103-1999,Non Profit,06/30/2015,3.0,,,,
00111700,Azusa Pacific University,Azusa,CA,91702-7000,Non Profit,06/30/2015,1.5,,,,
00112000,American Baptist Seminary of the West,Berkeley,CA,94704-3029,Non Profit,06/30/2015,2.2,,,,
00112200,Biola University,La Mirada,CA,90639-0001,Non Profit,06/30/2015,3.0,,,,
00112300,Brooks Institute,Ventura,CA,93001-1023,Proprietary,06/30/2015,3.0,,,,
00112500,California Baptist University,Riverside,CA,92504-3297,Non Profit,06/30/2015,2.6,,,,
00112700,California College of the Arts,San Francisco,CA,94107-2206,Non Profit,06/30/2015,2.5,,,,
00113100,California Institute of Technology,Pasadena,CA,91125-0001,Non Profit,09/30/2014,2.8,,,,
00113200,California Institute of the Arts,Valencia,CA,91355-2397,Non Profit,06/30/2015,2.6,,,,
00113300,California Lutheran University,Thousand Oaks,CA,91360-2787,Non Profit,05/31/2015,2.8,,,,
00116400,Chapman University,Orange,CA,92866-1099,Non Profit,05/31/2015,3.0,,,,
00116500,Church Divinity School of the Pacific,Berkeley,CA,94709-1217,Non Profit,06/30/2015,0.6,,,,
00116900,Claremont Graduate University,Claremont,CA,91711-6163,Non Profit,06/30/2015,2.4,,,,
00117000,Claremont McKenna College,Claremont,CA,91711-6400,Non Profit,06/30/2015,3.0,,,,
00117100,Harvey Mudd College,Claremont,CA,91711-5990,Non Profit,06/30/2015,2.2,,,,
00117200,Pitzer College,Claremont,CA,91711-6101,Non Profit,06/30/2015,2.7,,,,
00117300,Pomona College,Claremont,CA,91711-6301,Non Profit,06/30/2015,3.0,,,,
00117400,Scripps College,Claremont,CA,91711-3948,Non Profit,06/30/2015,3.0,,,,
00117700,Cogswell Polytechnical College,San Jose,CA,95134-1697,Proprietary,12/31/2014,1.6,,,,
00117900,Notre Dame de Namur University,Belmont,CA,94002-1997,Non Profit,06/30/2015,2.9,,,,
00118300,Holy Names University,Oakland,CA,94619-1699,Non Profit,06/30/2015,1.9,,,,
00119600,Dominican University of California,San Rafael,CA,94901-2298,Non Profit,06/30/2015,2.7,,,,
00120000,Fuller Theological Seminary,Pasadena,CA,91182-0002,Non Profit,06/30/2015,2.2,,,,
00120500,Golden Gate University,San Francisco,CA,94105-2967,Non Profit,06/30/2015,2.2,,,,
00120700,Graduate Theological Union,Berkeley,CA,94709-1212,Non Profit,06/30/2015,2.4,,,,
00121200,Humphreys College,Stockton,CA,95207-3896,Non Profit,06/30/2015,3.0,,,,
00121500,La Sierra University,Riverside,CA,92515-3332,Non Profit,06/30/2015,3.0,,,,
00121600,University of La Verne,La Verne,CA,91750-4443,Non Profit,06/30/2015,3.0,,,,
00121800,Loma Linda University,Loma Linda,CA,92350-0001,Non Profit,06/30/2015,3.0,,,,
00122000,Master's College and Seminary,Santa Clarita,CA,91321-1200,Non Profit,06/30/2015,2.8,,,,
00122900,Southern California University of Health Sciences,Whittier,CA,90604-4051,Non Profit,08/31/2014,3.0,,,,
00123000,Marshall B. Ketchum University,Fullerton,CA,92831-1699,Non Profit,06/30/2015,2.1,,,,
00123600,Menlo College,Atherton,CA,94027-4301,Non Profit,06/30/2015,2.2,,,,
00123800,Mills College,Oakland,CA,94613-1301,Non Profit,06/30/2015,2.4,,,,
00124300,Mount Saint Mary's University,Los Angeles,CA,90049-1599,Non Profit,06/30/2015,2.7,,,,
00124900,Occidental College,Los Angeles,CA,90041-3314,Non Profit,06/30/2015,3.0,,,,
00125100,Otis College of Art and Design,Los Angeles,CA,90045-3505,Non Profit,06/30/2015,3.0,,,,
00125200,Hope International University,Fullerton,CA,92831-3104,Non Profit,05/31/2015,1.6,,,,
00125300,Fresno Pacific University,Fresno,CA,93702-4798,Non Profit,04/30/2015,2.0,,,,
00125500,Pacific Oaks College,Pasadena,CA,91103-3606,Non Profit,05/31/2015,3.0,,,,
00125600,Pacific School of Religion,Berkeley,CA,94709-1323,Non Profit,06/30/2015,2.2,,,,
00125800,Pacific Union College,Angwin,CA,94508-9797,Non Profit,06/30/2015,2.7,,,,
00126200,Point Loma Nazarene University,San Diego,CA,92106-2899,Non Profit,06/30/2015,3.0,,,,
00127800,San Francisco Conservatory of Music,San Francisco,CA,94102-6011,Non Profit,06/30/2015,2.4,,,,
00127900,San Francisco Theological Seminary,San Anselmo,CA,94960-2905,Non Profit,06/30/2015,3.0,,,,
00128100,William Jessup University,Rocklin,CA,95765-3707,Non Profit,06/30/2015,1.7,,,,
00128800,Claremont School of Theology,Claremont,CA,91711-3199,Non Profit,06/30/2015,0.6,,,,
00129100,Simpson University,Redding,CA,96003-8606,Non Profit,04/30/2015,1.9,,,,
00129300,Vanguard University of Southern California,Costa Mesa,CA,92626-6597,Non Profit,06/30/2015,2.8,,,,
00129500,Southwestern Law School,Los Angeles,CA,90010-1106,Non Profit,06/30/2015,3.0,,,,
00129600,Dominican School of Philosophy and Theology,Berkeley,CA,94708-1295,Non Profit,06/30/2015,2.3,,,,
00130200,Saint Mary's College of California,Moraga,CA,94556-2744,Non Profit,06/30/2015,3.0,,,,
00130500,Stanford University,Stanford,CA,94305-1926,Non Profit,08/31/2014,3.0,,,,
00132200,University of Redlands,Redlands,CA,92373-0999,Non Profit,06/30/2015,3.0,,,,
00132500,University of San Francisco,San Francisco,CA,94117-1080,Non Profit,05/31/2015,3.0,,,,
00132600,Santa Clara University,Santa Clara,CA,95053-4956,Non Profit,06/30/2015,3.0,,,,
00132800,University of Southern California,Los Angeles,CA,90089-0001,Non Profit,06/30/2015,2.8,,,,
00132900,University of the Pacific,Stockton,CA,95211-0197,Non Profit,06/30/2015,2.9,,,,
00134100,Westmont College,Santa Barbara,CA,93108-1099,Non Profit,05/31/2015,2.3,,,,
00134200,Whittier College,Whittier,CA,90608-4413,Non Profit,06/30/2015,3.0,,,,
00134300,Woodbury University,Burbank,CA,91504-1052,Non Profit,06/30/2015,2.1,,,,
00274100,American Jewish University,Los Angeles,CA,90077-1599,Non Profit,06/30/2015,2.3,,,,
00394800,San Francisco Art Institute,San Francisco,CA,94133-2299,Non Profit,06/30/2015,3.0,,,,
00408000,Starr King School for the Ministry,Berkeley,CA,94709-1299,Non Profit,06/30/2015,2.4,,,,
00448400,John F. Kennedy University,Pleasant Hill,CA,94523-4817,Non Profit,06/30/2015,2.6,,,,
00449000,Patten University,Oakland,CA,94601-2699,Non Profit,06/30/2015,-1.0,,,,
00673100,Casa Loma College,Van Nuys,CA,91405-4523,Non Profit,06/30/2015,2.2,,,,
00697500,Lincoln University,Oakland,CA,94612-2801,Non Profit,07/31/2014,3.0,,,,
00701200,Samuel Merritt University,Oakland,CA,94609-3108,Non Profit,12/31/2014,3.0,,,,
00705000,Bellus Academy,National City,CA,91950-3616,Proprietary,12/31/2014,1.7,,,,
00713000,Newberry School of Beauty,Granada Hills,CA,91344-7404,Proprietary,06/30/2015,1.7,,,,
00714200,Lyle's College of Beauty,Fresno,CA,93710-3948,Proprietary,04/30/2015,2.4,,,,
00716400,Bryan University,Los Angeles,CA,90010-2501,Proprietary,12/31/2014,1.7,,,,
00718700,North Adrian's College of Beauty,Modesto,CA,95350-2381,Proprietary,02/28/2015,2.6,,,,
00720300,Salon Success Academy,Upland,CA,91786-4060,Proprietary,06/30/2015,2.4,,,,
00720400,Modern Beauty Academy - Oxnard,Oxnard,CA,93030-7016,Proprietary,12/31/2014,1.7,,,,
00720900,Redondo Beach Beauty College,Redondo Beach,CA,90278-3111,Proprietary,12/31/2014,1.8,,,,
00725300,Federico Beauty Institute,Sacramento,CA,95834-1905,Proprietary,12/31/2014,1.9,,,,
00729600,Coleman University,San Diego,CA,92123-1506,Non Profit,06/30/2015,1.5,,,,
00753100,Academy of Art University,San Francisco,CA,94105-3410,Proprietary,12/31/2014,1.9,,,,
00884400,California Christian College,Fresno,CA,93727-2610,Non Profit,06/30/2015,2.1,,,,
00884600,Wright Institute (The),Berkeley,CA,94704-1796,Non Profit,06/30/2015,3.0,,,,
00902200,Associated Technical College,Los Angeles,CA,90017-1604,Proprietary,12/31/2014,1.5,,,,
00903200,Empire College,Santa Rosa,CA,95403-2122,Proprietary,12/31/2014,-0.1,,,,
00998900,Santa Barbara Business College,Ventura,CA,93003-8053,Proprietary,06/30/2015,1.8,,,,
01014900,Pepperdine University,Malibu,CA,90263-4301,Non Profit,07/31/2014,3.0,,,,
01036500,Charles Drew University of Medicine and Science,Los Angeles,CA,90059-3025,Non Profit,06/30/2015,2.5,,,,
01039500,University of San Diego,San Diego,CA,92110-2492,Non Profit,06/30/2015,3.0,,,,
01044100,Pardee RAND Graduate School,Santa Monica,CA,90407-2138,Non Profit,09/28/2014,2.8,,,,
01047400,Marymount California University,Rancho Palos Verdes,CA,90274-6299,Non Profit,06/30/2015,2.6,,,,
01085400,Thomas Jefferson School of Law,San Diego,CA,92101-2928,Non Profit,06/30/2015,-0.2,,,,
01111200,Fashion Institute of Design & Merchandising -,Los Angeles,CA,90015-1421,Proprietary,03/31/2015,2.1,,,,
01111700,Alliant International University,San Diego,CA,92131-1799,Proprietary,06/30/2015,-0.4,,,,
01146000,National University - La Jolla,La Jolla,CA,92037-1011,Non Profit,06/30/2015,2.8,,,,
01164900,Loyola Marymount University,Los Angeles,CA,90045-2659,Non Profit,05/31/2015,2.5,,,,
01170700,North-West College,West Covina,CA,91790-2097,Proprietary,12/31/2014,2.4,,,,
01179200,Franciscan School of Theology,Oceanside,CA,92057-6402,Non Profit,06/30/2015,3.0,,,,
01186500,California Hair Design Academy,La Mesa,CA,91942-5055,Proprietary,12/31/2014,-0.2,,,,
01186600,Lu Ross Academy,Ventura,CA,93001-2927,Proprietary,12/31/2014,1.5,,,,
01203100,San Diego Christian College,Santee,CA,92071-5821,Non Profit,06/30/2015,1.1,,,,
01215400,California Institute of Integral Studies,San Francisco,CA,94103-2557,Non Profit,06/30/2015,2.0,,,,
01244600,Universal College of Beauty,Los Angeles,CA,90008-0044,Proprietary,12/31/2014,1.8,,,,
01291200,MTI College,Sacramento,CA,95841-3037,Proprietary,12/31/2014,3.0,,,,
01294200,Rosemead Beauty School,Rosemead,CA,91770-1639,Proprietary,12/31/2014,2.5,,,,
01298400,Professional Institute of Beauty,El Monte,CA,91731-2613,Proprietary,07/31/2014,2.4,,,,
01298500,Hair California Beauty Academy,Orange,CA,92867-7127,Proprietary,12/31/2014,1.1,,,,
01298900,Oceanside College of Beauty,Oceanside,CA,92054-5393,Proprietary,12/31/2014,2.0,,,,
01301000,Lancaster Beauty School,Lancaster,CA,93534-3098,Proprietary,12/31/2014,3.0,,,,
01307400,American Beauty College,West Covina,CA,91790-2906,Proprietary,12/31/2014,2.1,,,,
01309500,Salon Success Academy,Corona,CA,92881-3415,Proprietary,12/31/2014,3.0,,,,
01310300,California Western School of Law,San Diego,CA,92101-3046,Non Profit,07/31/2014,2.5,,,,
01324000,Lytle's Redwood Empire Beauty College,Santa Rosa,CA,95403-7757,Proprietary,06/30/2015,1.7,,,,
02061600,Waynes College of Beauty,Salinas,CA,93906-2830,Proprietary,10/31/2014,3.0,,,,
02064300,Sierra College of Beauty,Merced,CA,95340-4402,Proprietary,12/31/2014,2.8,,,,
02065700,California Beauty College,Modesto,CA,95354-1190,Proprietary,12/31/2014,3.0,,,,
02070500,Concordia University,Irvine,CA,92612-3203,Non Profit,06/30/2015,3.0,,,,
02075800,Southern California Institute of Architecture (The),Los Angeles,CA,90013-1829,Non Profit,08/31/2014,3.0,,,,
02096100,Fielding Graduate University,Santa Barbara,CA,93105-3814,Non Profit,06/30/2015,2.5,,,,
02099200,American Conservatory Theater Foundation,San Francisco,CA,94108-5800,Non Profit,06/30/2015,3.0,,,,
02110200,Columbia College Hollywood,Tarzana,CA,91356-1411,Non Profit,08/31/2014,2.0,,,,
02120600,Saybrook University,Oakland,CA,94612-1928,Non Profit,05/31/2015,2.2,,,,
02120700,San Joaquin Valley College,Visalia,CA,93291-9283,Proprietary,12/31/2014,1.6,,,,
02125000,Career Academy of Beauty,Garden Grove,CA,92845-2032,Proprietary,12/31/2014,3.0,,,,
02128200,Bridges Beauty College,Victorville,CA,92395-3821,Proprietary,06/30/2015,1.6,,,,
02138300,Palo Alto University,Palo Alto,CA,94304-1337,Non Profit,07/31/2014,2.0,,,,
02155300,Chicago School of Professional Psychology,Los Angeles,CA,90017-3830,Non Profit,05/31/2015,3.0,,,,
02161800,Musicians Institute,Hollywood,CA,90028-6157,Proprietary,09/30/2014,1.6,,,,
02167800,Estes Institute of Cosmetology Arts & Sciences,Visalia,CA,93291-6354,Proprietary,12/31/2014,3.0,,,,
02178700,Citrus Heights Beauty College,Citrus Heights,CA,95610-1410,Proprietary,09/30/2014,2.4,,,,
02185800,Moler Barber College,Oakland,CA,94609-5719,Proprietary,12/31/2014,2.4,,,,
02188400,Sierra Valley College of Court Reporting,Fresno,CA,93726-0517,Proprietary,06/30/2015,2.3,,,,
02220000,Colleen O'Hara's Beauty Academy,Santa Ana,CA,92701-4625,Proprietary,12/31/2014,2.1,,,,
02222000,American Film Institute Conservatory,Los Angeles,CA,90027-1625,Non Profit,06/30/2015,2.5,,,,
02228500,Life Chiropractic College West,Hayward,CA,94545-2800,Non Profit,06/30/2015,1.6,,,,
02230900,Fredrick and Charles Beauty College,Eureka,CA,95501-1812,Proprietary,12/31/2014,2.5,,,,
02231900,Gemological Institute of America,Carlsbad,CA,92008-4602,Non Profit,12/31/2014,3.0,,,,
02236400,"Thanh Le College, School of Cosmetology",Garden Grove,CA,92840-4100,Proprietary,12/31/2014,2.2,,,,
02237200,Phillips Graduate University,Chatsworth,CA,91311-5541,Non Profit,06/30/2015,1.5,,,,
02241800,American Career College,Los Angeles,CA,90004-6818,Proprietary,12/31/2014,1.6,,,,
02262400,Yeshiva Ohr Elchonon Chabad-West Coast Talmudical Seminary,Los Angeles,CA,90046-7660,Non Profit,12/31/2014,2.2,,,,
02267600,Sofia University,Palo Alto,CA,94303-4624,Proprietary,06/30/2015,1.8,,,,
02270600,Life Pacific College,San Dimas,CA,91773-3298,Non Profit,06/30/2015,3.0,,,,
02276800,Westminster Theological Seminary in California,Escondido,CA,92027-4128,Non Profit,06/30/2015,3.0,,,,
02277400,South Coast College,Orange,CA,92868-8124,Proprietary,06/30/2015,2.2,,,,
02282300,Alhambra Beauty College,Alhambra,CA,91801-7494,Proprietary,12/31/2014,2.9,,,,
02285100,Hilltop Beauty School,Daly City,CA,94014-2012,Proprietary,09/30/2014,0.4,,,,
02298000,Design Institute of San Diego,San Diego,CA,92121-2685,Proprietary,06/30/2015,2.4,,,,
